,teamid,game_id,y,1
9,30,1640871.6944444445,15.555868440018514,Tottenham
10,31,1640865.7027027027,15.627667780826794,Everton
3,18,1640871.8823529412,15.792296434867527,Southampton
11,32,1640862.6486486488,15.832424814286611,Manchester United
12,161,1640870.8648648649,15.87006995878085,Wolves
17,183,1640858.342857143,15.987104221665156,Bournemouth
14,167,1640861.09375,16.003616739191152,Manchester City
18,189,1640865.388888889,16.1139055105877,Brentford
19,211,1640861.9428571428,16.139954006051227,Brighton
4,19,1640860.0571428572,16.2622856960555,Leeds
16,174,1640861.4444444445,16.69924564818855,Nottingham Forest
5,23,1640864.1764705882,16.908819487359306,Newcastle
2,15,1640859.0294117648,16.920954051273725,Chelsea
7,26,1640857.5151515151,17.541544661987928,Liverpool
1,14,1640864.0789473683,17.5537266545671,Leicester
8,29,1640867.1176470588,17.69479860210433,West Ham
0,13,1640860.4444444445,17.776364399778622,Arsenal
6,24,1640865.8235294118,17.83312699781299,Aston Villa
13,162,1640864.9722222222,17.918518443290175,Crystal Palace
15,170,1640857.4594594594,17.947923537398484,Fulham
